COMPANY STAGE,FOUNDED YEAR,is_non_eu,EMPLOYEE COUNT,REVENUE (USD MN),INVESTED FUNDS (ESTIMATED**),OWNERSHIP TYPE,INDUSTRY_CATEGORY
Series A,2015.0,1,0.0,,Shanxi Big Data Venture Fund,Private,Technology
Angel & Seed,2018.0,1,4.0,,"Beijing Zhongguancun Development Qihang Industry Fund, Beijing Lotus Lake Exploration Venture Capital Fund, Beijing Biotechnology Science Park Venture Fund, Beijing Hetang Life Science Original Fund, Gongqingcheng Jiuyou Shenghui Fund",Private,Healthcare
Series A,2015.0,1,12.0,,"Beijing FOF Venture Capital Center, Beijing Shifang Tiandi Venture Fund, Weifang Junyuan Fund",Private,Technology
Series B,2015.0,1,18.0,,"Wuhu Tamon Creative New Energy Investment Partnership Enterprise, Shanghai Yuanxing Haoyun Fund",Private,Media and Entertainment
Angel & Seed,2015.0,1,0.0,,Beijing Hongtai Qihang Venture Capital Fund,Private,Technology
Angel & Seed,2015.0,1,4.0,,Beijing Xinghuo Zhitou Investment Management Fund,Private,Technology
Series A,2020.0,1,22.0,,"Hillhouse Fund V, GGV Capital RMB Fund II, 5Y Capital Growth Fund I, Suzhou Jichuang Xinyuan Venture Fund, IDG Magic V Fund",Private,Technology
Angel & Seed,2020.0,1,1.0,,"IDG China Venture Capital Fund VI, Suzhou Oriza Rivertown Venture Growth Fund II",Private,Business Services
Series B,2016.0,1,81.0,,"Zhuhai Gaoling Tiancheng Equity Investment Fund, Vision Plus Capital Fund III USD, Vitalbridge Fund I, Source Code RMB Fund IV",Private,Technology
Series A,2014.0,1,3.0,,Matrix Chuangda (Hangzhou) Venture Fund,Private,Consumer Goods and Services
Series A,2018.0,1,10.0,,"Beijing Xiangsheng Huitong Fund, Shenzhen Cowin Big Health Industry Fund, Beijing Shouke Kaiyang Venture Fund, Hangzhou Hemeng Yizhi Fund, Gongqingcheng Pengbo Hengze Fund",Private,Healthcare
Series B,2020.0,1,4798.0,,"Baotong Chentao (Shanghai) Investment Management Partnership Enterprise, Beijing Shuimu Linghang Venture Fund, Rongteng 5G Industry Fund II, Fujian Jinbang Jinxin Venture Fund, Zhuhai Xiangzhou Zhirong Venture Fund I, Zhuhai Guangfa Xinde Ruiteng Venture Fund, Huzhou Giant Person Yongwang Fund",Private,Transportation
Early Stage,2016.0,1,8.0,,Beijing Casstar Science Venture Fund II,Private,Technology
Angel & Seed,2014.0,1,21.0,,,Private,Business Services
Angel & Seed,2015.0,1,49.0,,"Suzhou Yuandian Zhengze No.2 Venture Fund, Suzhou Herong Shunda touzi Fund",Private,Technology
Angel & Seed,2020.0,1,,,,Private,Technology
Series A,2016.0,1,156.0,,,Private,Consumer Goods and Services
Angel & Seed,2014.0,1,17.0,,Hangzhou Kaitai Houde Fund,Private,Healthcare
Series A,2018.0,1,29.0,,"Baidu Venture RMB Fund II, ACE Redpoint Ventures China II",Private,Business Services
Series D,2016.0,1,43.0,,"Zhuhai Juffett Changsheng Equity Investment Fund Partnership, Tibet Longmaide Equity Investment Center, Legend Star RMB Fund III, Shenzhen Topping Venture Fund, Suzhou Shengtao Healthcare Fund, Yantai Biopharmaceuticals Healthcare Industrial Fund of Funds, Shenzhen Yuansheng Angel Venture Fund, SCC Healthcare Principals Fund, BioTrack RMB Fund II, Guangzhou Licheng Chenhai Fund, SME Development Lenovo (Tianjin) Fund",Private,Healthcare
Angel & Seed,2014.0,1,16.0,,Shanghai Xingwan Venture Investment Partnership Enterprise,Private,Business Services
Series A,2019.0,1,0.0,,Suzhou Shengze Roton Venture Fund,Private,Healthcare
Angel & Seed,2017.0,1,25.0,,SOSV IV,Private,Healthcare
Angel & Seed,2015.0,1,0.0,,Beijing Chuangyebang Investment Center,Private,Technology
Angel & Seed,2015.0,1,0.0,,,Private,Technology
Series A,2014.0,1,8.0,,"Wuxi Yuandu Venture Fund I, Shanghai Zhongjia Xinghua Venture Fund",Private,Business Services
Angel & Seed,2015.0,1,0.0,,,Private,Consumer Goods and Services
Series A,2016.0,1,10.0,,"Suzhou GSL Lianhe Equity Investment Partnership III, Suzhou Zhongxin Botong Jinshi Venture Fund, Gongqing Fanchuang Venture Fund I, Hubei Shiji Dajiang Fund, Guangzhou Licheng Chenhai Fund, Guangzhou Chufeng Fund, Suining Qidi Fangxin Fund",Private,Technology
Ceased Operations,2015.0,1,113.0,,"GSR Ventures V, Zhen RMB Fund III",Private,Business Services
Angel & Seed,2019.0,1,,,,Private,Technology
Series A,2017.0,1,14.0,,Legend Star RMB Fund III,Private,Media and Entertainment
Series A,2016.0,1,18.0,,"Suzhou Industrial Area Bohe Venture Fund II, Foshan Shunde Zongheng Shifang Fund, Nanning Shuimu Yuanjing Venture Fund, Shenzhen Qirong Angel Venture Fund",Private,Healthcare
Series A,2020.0,1,28.0,,"Suzhou Yuanqi Wang’an Venture Fund I, Shenzhen Feifan Digital Influential Fund, Cherubic Ventures Fund V, Yancheng Songhe New Industrial Venture Fund, Hangzhou Haina Yuzhi Venture Fund",Private,Business Services
Series A,2015.0,1,13.0,,"Suzhou GSL Lianhe Equity Investment Partnership III, Hidden Hill RMB Fund I, Suzhou Zhongxin Botong Jinshi Venture Fund, Nanchang Guanggu Guangdian Industrial Fund",Private,Business Services
,2014.0,1,36.0,,Liaoning New Energy And Low-Carbon Industry Equity Investment Fund,Private,Media and Entertainment
Series A,2019.0,1,23.0,,"DCM IX, ACE Redpoint Ventures China II, Source Code RMB Fund IV, BAI CAPITAL FUND I LIMITED, Nanjing Wuyuan Qixing Venture Fund, Chengdu Tianfu Gaorong Kangyong Fund IV",Private,Healthcare
Series A,2018.0,1,1.0,,"Shandong Industrial Research Institute Fund, Ji'nan Changyan Zhongxiang Venture Investment Fund, Nanjing Chuangyi Yiqi Lihe New Technology Venture Fund",Private,Industrial
Early Stage,2016.0,1,17.0,,,Private,Agriculture
Angel & Seed,2015.0,1,4.0,,Xiamen Jikebang Fund,Private,Business Services
Series B,2015.0,1,81.0,,"Jiaxing New Zengding Investment Partnership Enterprise, Jiaxing Rongjiang Venture Fund II, Guangzhou Chufeng Fund",Private,Technology
Angel & Seed,2020.0,1,,,,Private,Business Services
Angel & Seed,2019.0,1,,,"Shenzhen Chenyuan Hongce Fund, Zhen RMB Fund VI",Private,Technology
Series A,2017.0,1,42.0,,"Matrix Partners China Fund VI, Redpoint Omega IV, Xiamen Weizhuoshi Equity Investment Fund, Ningbo Meishan Bonded Port Area Kati Fund",Private,Healthcare
Angel & Seed,2019.0,1,2.0,,Guangdong Yinxing Guangbo Venture Fund,Private,Healthcare
,2018.0,1,6.0,,"Carlyle Asia Partners Growth I, TPG–SV China Ventures, Jinsui (Jinjiang) Venture Fund",Private,Financial Services
Angel & Seed,2019.0,1,,,"Shenzhen Merchants Venture Investment Fund Center, Shanghai Gaoling Chenjun Fund, Suining Qidi Fangxin Fund, Zhongcai Zhongdi Sixin (Jinan) New Kinetic Energy Industrial Development Fund",Private,Technology
Angel & Seed,2019.0,1,0.0,,,Private,Business Services
Series A,2015.0,1,158.0,13.06,Shanghai Ouling Bohui Fund,Private,Business Services
Series A,2019.0,1,64.0,,Sky 9 Capital Fund V,Private,Business Services
Series B,2019.0,1,,,"China Internet Investment Fund, Ningbo Tianshi Renhe Fund, MSA China Venture Fund II, Hanxin Xiangcheng Kanghua (Shenzhen) Angel Venture Fund, SCC Equity Principals Fund, Xiamen Construction and Development Changrong Fund, Hangzhou Jingque Weilai Fund, Zhuhai Lize Fund",Private,Technology
Series A,2015.0,1,4.0,,Nanshan RMB Fund II,Private,Consumer Goods and Services
Series C,2016.0,1,124.0,,"Jiaxing Yuanke Fund I, Chengdu Chuanshang Xingshu Fund, Hanzhong Zhonghe Advanced Manufacturing Industrial Fund, Suzhou Zhengxuan Qianzhan Zhihe Venture Fund, Shenzhen Gaoxintou Yuanwang Guwu Internet Fund",Private,Industrial
,2014.0,1,26.0,,Tianjin Yingnuo Venture Fund,Private,Financial Services
Early Stage,2014.0,1,1.0,,,Private,Business Services
Series A,2018.0,1,68.0,,"Legend Star RMB Fund IV, OSS Capital I, Polychain Ventures, Suzhou Jiyuan Haoyue Venture Fund",Private,Technology
Series C,2015.0,1,356.0,,"Anhui Zhaoyuanbaohe Investment Fund, Sinovation RMB Fund III, Hangzhou Puhua Yuchen Fund, Beijing Guoke Dingzhi Equity Investment Fund, BOCOM Hangzhou Industry Equity Fund, Jiaxing Yunfang Venture Fund, Qingdao Qingkong Merchants Innovation Fund, SME Development Shenzhen Innovation Investment (Xinjiang) Fund, Guangzhou Yuexiu Chuangda Industrial Fund III, Longma Fund LXXI, Beijing Yuanpei Technological Innovation Fund, CICC Chuanyu Phoenix (Hangzhou) Fund",Private,Business Services
Series A,2018.0,1,92.0,,,Private,Healthcare
Add-on,2015.0,1,41.0,,"Changzhou Jiaheda Venture Fund, Beijing Anpeng Xingyuan New Energy Industry Fund",Private,Technology
Angel & Seed,2017.0,1,0.0,,,Private,Technology
Series A,2020.0,1,7.0,,"Beijing Zhongguangchun Development Advanced Fund, Guangzhou Chufeng Fund, Nanjing Delta Venture Fund, Guangxi Guangtou Xinchuang Yongzhi Venture Fund, Funing Haishan Xinda Industrial Fund",Private,Technology
Angel & Seed,2018.0,1,37.0,,"Sinovation RMB Artificial Intelligence Fund, Hunan Wuba Qianmo Fund",Private,Business Services
Angel & Seed,2017.0,1,4.0,,"Y Combinator Continuity Affiliates Fund I, TSVC IV, Zhencheng Capital Fund I, Ningbo Meishan Free Trade Port Zone Alpha Tiancheng Fund, Beijing Qiji Chuangtan Venture Fund II",Private,Technology
Series B,2016.0,1,,,"Suzhou GSR Zhaohua VC Fund III, Inno Chuangyijia Venture Capital Fund, Beijing Chenshan Venture Fund, Fuzhou Huaqiao Haichuanghui Venture Fund, Nanjing Boya Shengjing Fund",Private,Technology
Series D,2018.0,1,1396.0,,"Redpoint Ventures VII, Hike Capital Venture Fund, Nanshan RMB Fund II, M31 Navigator Fund, Gongqingcheng Muhua Fund II, Shenzhen Yuanjing Innovation Venture Fund",Private,Transportation
Early Stage,2016.0,1,2.0,,,Private,Business Services
Early Stage,2014.0,1,6.0,,,Private,Technology
Angel & Seed,2020.0,1,0.0,,"Shenzhen Qirong Angel Venture Fund, Ningbo Meishan Bonded Port Area Lisichen Yingcai Fund, Suining Qidi Fangxin Fund",Private,Business Services
Series B,2015.0,1,88.0,,Shenzhen Grit Venture Fund,Private,Healthcare
Ceased Operations,2014.0,1,,,"Xiamen Guohai Jianguo Investment Partnership Enterprise, Beijing Zhenyun Intellegent Venture Fund, Beijing Zhendi Intelligence Venture Fund, Tianjin Yingnuo Venture Fund",Private,Technology
Angel & Seed,2014.0,1,3.0,,,Private,Technology
Angel & Seed,2015.0,1,0.0,,Carlyle RMB Fund II,Private,Business Services
Series A,2015.0,1,23.0,,Shanghai Shixiao Fund,Private,Technology
Angel & Seed,2015.0,1,3.0,,,Private,Business Services
Series A,2017.0,1,39.0,,"Matrix Partners China Fund VI, Changsha Fengminyang Venture Fund, Beijing Dachen Caizhi SME Development Fund",Private,Technology
Early Stage,2015.0,1,2.0,,,Private,Healthcare
Series B,2015.0,1,114.0,,,Private,Technology
Early Stage,2017.0,1,4.0,,,Private,Technology
Series B,2019.0,1,83.0,,"Genesis Capital II, Vision Plus Capital Fund III USD, IDG China Venture Capital Fund VI, Hai’nan Yunfeng Fund, Tianjin Lenovo Haihe Intelligent Technology Industry Fund, Long-Z Fund I, Henan Zhanxin Industrial Fund",Private,Transportation
Angel & Seed,2014.0,1,12.0,,,Private,Technology
Early Stage,2015.0,1,1.0,,"Xinjiang Share Chuangying Venture Capital Partnership, Hangzhou Junyi Venture Fund",Private,Technology
Early Stage,2019.0,1,,,,Private,Business Services
Angel & Seed,2014.0,1,1.0,,,Private,Technology
Series B,2018.0,1,13.0,,"Zhuhai Gaoling Tiancheng Equity Investment Fund, Long Hill Capital Venture Partners 1 Plus, CDH RMB VGC II, Hainahua Shanghai Fund, Linear Venture IV, Greater Bay Area Homeland Development Fund, LC Healthcare Continued Fund I, Lightspeed China Partners V, Taicang Eastern Bell Qinglan Fund VI",Private,Healthcare
Series A,2018.0,1,30.0,,"Shanghai Hengyu Fund, PAG Growth Fund II",Private,Technology
Series A,2019.0,1,0.0,,"SME Development Shenzhen Innovation Investment (Xinjiang) Fund, Wuhan East-Lake Zhonghe Angel Fund II",Private,Technology
Series C,2014.0,1,5.0,,"Cathay Smart Energy, Yunnan Kunshan Yuexiu Fund, Shanghai Sigma Square Fund, Nanjing SAIF Fund, Shenzhen Hanneng New Economy Fund, Guangzhou Nansha Sky Aerospace Fund",Private,Industrial
Series A,2018.0,1,14.0,,"iHeima No.1 Fund, Baidu Venture RMB Fund II, Matrix Partners China Fund V, Huakong Jishi (Tianjin) Venture Fund",Private,Technology
Angel & Seed,2014.0,1,1.0,,,Private,Technology
Angel & Seed,2019.0,1,34.0,,"Baotong Chentao (Shanghai) Investment Management Partnership Enterprise, Linear Capital V, Ningbo Caozhixing Junbo Wenlan Fund, Kunlun CoStone Shenzhen Fund",Private,Transportation
Series B,2014.0,1,43.0,,Beijing Xinhe Taida Investment Management Center,Private,Technology
Series C,2016.0,1,54.0,,"Tianjin Guangxin Fund, Karamay Kunlun Zhuoyue Technology Investment Fund, IDG China Venture Capital Fund VI, Source Code RMB Fund IV, Beijing Yahui Jinlin Venture Fund, Shanghai Guofang Zuozhen Enterprise Fund, Suzhou Jiyuan Haoyue Venture Fund",Private,Healthcare
Early Stage,2015.0,1,1.0,,Shenzhen Zhaoyin Zhanyi Investment Management Partnership,Private,Financial Services
Series A,2017.0,1,12.0,,"Nantong Chenyuan Hongce Fund, Ningbo Xinyuan Venture Fund, Chongqing Xianfeng Cowin Fund, Hongtu Zhineng Foshan Fund",Private,Financial Services
Series C,2014.0,1,74.0,,"Hangzhou Haida Mingde Venture Investment Partnership Enterprise, Ningbo Haida Ruiying Venture Capital Fund, Yancheng Dafengqu Tiancheng Industry Fund, Beijing Xinchuang Technology Venture Fund I, Beijing Guoke Jiahe Jinyuan Fund, Nanjing Runxin Xietong SME Development Fund",Private,Transportation
Series A,2017.0,1,21.0,,"iHeima No.1 Fund, Qianhai Equity Investment Fund, Fuzhou Fenghou Yuanda Venture Fund, Shenzhen Turing VC Fund, Guizhou Fenghou Zhiyuan Venture Fund, Nanjing Tuling Venture Fund I, Fuhai Ancheng Bohui (Haozhou) Medical Equity Fund, Sinovation Fund V",Private,Business Services
Angel & Seed,2014.0,1,0.0,,Cegood Xuanli Nanjing Equity Investment Fund,Private,Financial Services
Angel & Seed,2019.0,1,84.0,,"Beijing Baosheng Intelligent Venture Fund, Handan Fengfeng Mining Area Fengkaijian Industrial Fund",Private,Consumer Goods and Services
Early Stage,2019.0,1,,,,Private,Media and Entertainment
Angel & Seed,2018.0,1,748.0,,Beijing Casstar Science Venture Fund,Private,Technology
Angel & Seed,2019.0,1,1.0,,,Private,Transportation
Series B,2015.0,1,54.0,,"China Information Technologies 5G Industry Fund, 5G Ecosystem Fund, Hangzhou Puhua Yuchen Fund, Jiangsu Jiequan Anpeng Advanced Manufacturing Industry Fund, Qingdao Tianchuang Huixin Venture Fund, Qingdao Huakong Growth Fund, Wenzhou ZUIG Letai IoT Industrial Fund, Suzhou Wofu Ruixin Venture Fund, Hangzhou Aopu Fund, Beijing Jinhaicheng Kechuang Fund, Hefei Guozhao Duoze Industrial Fund",Private,Technology
Early Stage,2017.0,1,2.0,,,Private,Business Services
Series B,2016.0,1,0.0,,"Shenzhen Dachen Chuangtong Fund, Nanjing Gaoke Xinjun Growth Fund II, Jiangsu Jiequan Chuangye Venture Fund",Private,Technology
Angel & Seed,2019.0,1,93.0,,"Morningside China USD Fund, BetaFund, Plum Ventures Angel Fund V",Private,Consumer Goods and Services
Early Stage,2015.0,1,0.0,,Tibet Guodiao Hongtai Investment Fund,Private,Business Services
Angel & Seed,2019.0,1,,,Beijing Zhisheng Longguan Venture Fund,Private,Technology
Series A,2018.0,1,38.0,,"Fuzhou Fenghou Yuanda Venture Fund, Beijing Casstar Science Venture Fund, Beijing Jinke Huisheng Venture Investment Fund, Nanjing Gaoke Xinjun Growth Fund II",Private,Technology
Angel & Seed,2019.0,1,,,Qingdao Jianrui Venture Fund,Private,Technology
Series A,2017.0,1,13.0,,Guangzhou Fund,Private,Technology
Angel & Seed,2018.0,1,8.0,,"WI Harper Fund VIII, Beijing Casstar Science Venture Fund",Private,Healthcare
Angel & Seed,2017.0,1,14.0,,,Private,Healthcare
Series A,2019.0,1,16.0,,"Hemi Ventures Fund I, Suzhou Qingyan Automatic Fund, Beijing Zhongguangchun Development Advanced Fund, Shenzhen Turing VC Fund, Xinyu Taiyi Fund, Fujian Dingbao Fund, Suzhou Kexun Yuanfeng Angel Venture Fund, Zhongcai Zhongdi Sixin (Jinan) New Kinetic Energy Industrial Development Fund, Wuxian Qihang Venture (Taiyuan) Fund, Shenzhen Yunshi Boqiao Fund",Private,Technology
Series A,2019.0,1,16.0,,"SME Development Lenovo (Tianjin) Fund, Suzhou Ameba Innovation Venture Fund",Private,Technology
Angel & Seed,2019.0,1,6.0,,"GSR Ventures VI, Sequoia Capital Global Growth Fund III, MiraclePlus RMB Fund I, Tianjin Haihe Shunke Fund",Private,Technology
Series B,2016.0,1,124.0,,"Beijing Dancheng Investment Fund, Shanghai Fengrui Investment Center, Xinglu Dingtai (Tongxiang) Big Data Fund, SBCVC AI Fund",Private,Technology
Series A,2016.0,1,43.0,,,Private,Healthcare
Angel & Seed,2016.0,1,4.0,,"Hangzhou SAIF Liyuan Venture Capital Fund, Hangzhou Liyuan Ximao Fund, Hangzhou Huabei Fund",Private,Technology
Angel & Seed,2018.0,1,31.0,,Qingsong Wisdom Fund,Private,Business Services
Series A,2017.0,1,39.0,,,Private,Media and Entertainment
Series A,2015.0,1,45.0,,"DT Hexin Fund, Tianjin Zhongguanchun Grains Valley Tuling Fund, Hefei Emerging Industry Venture Fund, Hefei Xinzhanqu Angel Fund, Hangzhou Wuliang Erjie Fund",Private,Financial Services
Early Stage,2015.0,1,1.0,,,Private,Healthcare
Series A,2015.0,1,70.0,,,Private,Technology
Series B,2019.0,1,12.0,,"Zhuhai Gaoling Tiancheng Equity Investment Fund, Suzhou Gobi Yinghe Fund, Suzhou Yizhong Venture Fund, Shenzhen Yingzhi Technology Fund, Prosperity7 Ventures, Tianjin Haihe Shunke Fund, Nanjing Zhaoying Zhenyuan Kexing Fund I, Suzhou Industrial Park Yuanhe Zhongyuan Fund III, Tianjin Haihe Furui Fund",Private,Technology
Angel & Seed,2015.0,1,24.0,,,Private,Media and Entertainment
Angel & Seed,2017.0,1,2.0,,,Private,Financial Services
Series A,2017.0,1,20.0,,"Sequoia Capital China Yuan Fund, Linear Venture III RMB Fund, Matrix Partners China Fund VI, Guangzhou Huayu Kechuang Private Equity Investment Fund, Source Code RMB Fund V, BlueRun Ventures Dual- currency Fund",Private,Technology
Angel & Seed,2019.0,1,,,,Private,Financial Services
Series B,2016.0,1,28.0,,Guangzhou Tianmu AI Fund,Private,Technology
Series A,2017.0,1,24.0,,"Guangzhou Fund, Shenzhen Turing VC Fund, Hangzhou Puhua Yuchen Fund, Shanghai Panlong Fund, Chengdu Hongdao V Venture Fund, Qiming USD Fund VIII",Private,Healthcare
Angel & Seed,2017.0,1,,,,Private,Healthcare
Series A,2016.0,1,38.0,,"Qianhai Equity Investment Fund, Chengdu Hongdao V Venture Fund, Hangzhou Fuyang Zhongka Fund",Private,Industrial
Angel & Seed,2016.0,1,7.0,,,Private,Business Services
Series A,2017.0,1,189.0,,"Ningbo Meishan Bonded Port Area Qingrui Zhuke Venture Fund, Tsinghua Capital Fund, Beijing Eagles Venture Fund, Beijing Cretrend Fund I, Hangzhou Xingxiangwan Fund, Meridian Capital RMB Fund VI",Private,Technology
Angel & Seed,2017.0,1,8.0,,Beijing Tongfang Yiheng Venture Fund,Private,Technology
Angel & Seed,2018.0,1,11.0,,"DT Hexin Fund, Jiaxin Lanxiang Fund III, Jiaxing Zhiwei Zhizhang Investment Fund, Qingdao Lanxiang Venture Fund V, Chinese All (Tianjin) Cultural Industrial Fund",Private,Business Services
Series A,2017.0,1,14.0,,"Suzhou GSL Lianhe Equity Investment Partnership III, Beijing Yizhuang Innovation Private Equity Investment Center, Ningbo Meishan Bonded Port Area Dahui Fund, Keytone Ventures RMB Fund I, Suzhou Zhongxin Botong Jinshi Venture Fund, Beijing Jinke Huisheng Venture Investment Fund, Shenzhen Lihe Hongxin Venture Fund, Enze Fund, Wuhu Gaoxin Addor Small and Medium-sized Enterprise Venture Fund, Hefei Seed Fund, Suzhou Woyan Venture Fund, Beijing Yuanpei Technological Innovation Fund",Private,Industrial
Series A,2017.0,1,1.0,,"Joy Capital III, GGV Capital RMB Fund II",Private,Technology
Angel & Seed,2017.0,1,24.0,,,Private,Technology
Series A,2017.0,1,22.0,,,Private,Agriculture
Angel & Seed,2018.0,1,32.0,,,Private,Media and Entertainment
Series A,2017.0,1,38.0,,"Nantong Tendence Xinkang Venture Capital Fund, Xiang He RMB Fund I",Private,Technology
Angel & Seed,2017.0,1,11.0,,,Private,Technology
Angel & Seed,2016.0,1,38.0,,Shenzhen United Chuangtou No.16 Investment Partnership Enterprise,Private,Technology
Series A,2017.0,1,28.0,,Shanghai Guangnuoyuan Venture Fund,Private,Media and Entertainment
Angel & Seed,2017.0,1,1.0,,,Private,Healthcare
Angel & Seed,2015.0,1,1.0,,"Zhen RMB Fund V, Zhuhai Zhixing Bingjin Culture Industry Fund",Private,Technology
Angel & Seed,2015.0,1,2.0,,"Zhen RMB Fund III, Zhencheng RMB Fund I, Beijing Yicheng Changxiang Fund",Private,Technology
Series A,2016.0,1,54.0,,Yahui RMB Fund III,Private,Healthcare
Series A,2018.0,1,22.0,,"Cyanhill Capital RMB Fund III, Xiamen Challenjers Shuangyuhao Fund",Private,Business Services
Angel & Seed,2019.0,1,237.0,,Prosper Startup Accelerator Fund,Private,Business Services
Series A,2015.0,1,25.0,,Shenzhen ASB Angel Venture Fund,Private,Technology
Angel & Seed,2016.0,1,10.0,,"Jiaxing Jidi Xintian No.1 Fund, Beijing Jiuhe Yunyong Fund",Private,Transportation
Angel & Seed,2015.0,1,4.0,,,Private,Consumer Goods and Services
Series A,2018.0,1,12.0,,"Tianjin Dark Horse Fund II, Shenzhen Turing VC Fund, Xinyu Taiyi Fund, Shanghai Yunpu Venture Fund",Private,Business Services
Angel & Seed,2015.0,1,5.0,,Guangzhou Zhonghai Huijin Venture Fund,Private,Technology
Angel & Seed,2017.0,1,,,,Private,Technology
Angel & Seed,2019.0,1,,,"Baidu Venture RMB Fund II, Beijing Lenovo Intelligent Internet Innovation Fund",Private,Consumer Goods and Services
Angel & Seed,2015.0,1,10.0,,Nanjing Tiantong Xinqi Venture Fund,Private,Financial Services
Series A,2017.0,1,24.0,,"Suzhou Yuanyi Zhiyuan Fund, Shanghai Yangyu Venture Fund, Marathon Venture Partners RMB II, Nanjing Weidu Alpha Venture Fund, Ganzhou Meiling Chunlai Fund",Private,Technology
Series B,2017.0,1,42.0,,"GSR Ventures VI, Sequoia Capital Global Growth Fund III, Mfund, Shenzhen Turing VC Fund, Guangzhou Chufeng Fund",Private,Technology
Series B,2016.0,1,12.0,,"TSVC III, Xinyu Taiyi Fund, Hefei Shuimu Venture Fund, Beijing Qidi Chuangyuan Venture Fund",Private,Technology
Angel & Seed,2016.0,1,31.0,,Fujian Red Bridge Private Equity Fund ,Private,Business Services
Angel & Seed,2017.0,1,,,Ningbo Meishan Free Trade Port Zone Alpha Tiancheng Fund,Private,Technology
Series A,2016.0,1,27.0,,"Shenzhen Gaojie Knowledge Fund, Ningbo Ameba Boyuan Venture Fund, Nanchang Guanggu Guangdian Industrial Fund",Private,Technology
Series A,2017.0,1,17.0,,Shanghai Zhangting Fund,Private,Technology
Angel & Seed,2017.0,1,0.0,,,Private,Consumer Goods and Services
Series A,2019.0,1,,,"Yun Qi Partners III, Lightspeed China Partners V",Private,Technology
Series A,2016.0,1,11.0,,"GSR Ventures VI, Jiaxing New Zengding Investment Partnership Enterprise, Zhen USD Fund V, Eminence Ventures RMB I, SCC Equity Principals Fund, Wanwu Xiamen Fund I, Shenzhen Wanwu Shengzhang Fund",Private,Technology
Angel & Seed,2017.0,1,25.0,,Chongqing Linghang Xingyun Zhixin Fund,Private,Technology
Angel & Seed,2016.0,1,4.0,,,Private,Technology
Angel & Seed,2017.0,1,32.0,,Shenzhen Nanshan Asite Innovative Equity Fund,Private,Technology
Angel & Seed,2016.0,1,0.0,,"Guangdong Yinxing Guangbo Venture Fund, Beijing Qidi Jinghe Saiou Fund, Chongqing Qingyan Huaye Fund, Hangzhou Taizhiyou Venture Fund",Private,Technology
Angel & Seed,2016.0,1,5.0,,Chengdu Hongdao V Venture Fund,Private,Technology
Series B,2018.0,1,217.0,,"Nanjing Suning Rundong Equity Investment Management Center, Chuxin Capital RMB Fund I, Morningside China USD Fund, Beijing Ruihui Haina Science Fund, BetaFund, Hillhouse SK Venture Capital Fund, Harmony Venture Fund II, BOCOM Hangzhou Industry Equity Fund, Lighthouse Growth USD Fund I, Junlan Medical Industry Investment Fund, Haixige Jiantou Puyin Industry Fund, Qingdao Qingkong Merchants Innovation Fund, Beijing Xingtou Youxuan Venture Fund",Private,Technology
Series A,2015.0,1,62.0,,Shanghai Xinpu Venture Capital Fund,Private,Technology
Series B,2016.0,1,40.0,,"Redhill Venture Fund, Qiming RMB Fund VII",Private,Healthcare
Angel & Seed,2017.0,1,3.0,,Beijing Zhendi Intelligence Venture Fund,Private,Financial Services
Angel & Seed,2016.0,1,9.0,,Beijing Casstar Science Venture Fund,Private,Technology
Ceased Operations,2016.0,1,12.0,,,Private,Business Services
Angel & Seed,2017.0,1,6.0,,"Beijing Zhendi Intelligence Venture Fund, Shenzhen Yingnuo Angel Fund",Private,Business Services
Series B,2016.0,1,51.0,,"Lenovo Capital, Ningbo Meishan Bonded Zone of Qiaopeng Investment Partnership Enterprise, Guangdong Yinxing Guangbo Venture Fund, Nantong Xidian Tianlang Venture Fund",Private,Business Services
Angel & Seed,2016.0,1,0.0,,"Hangzhou Yinxingshu Equity Investment Partnership Enterprise, Shenzhen Yunsilu Venture Fund",Private,Consumer Goods and Services
Angel & Seed,2016.0,1,1.0,,,Private,Technology
Series A,2016.0,1,17.0,,"BlueRun Ventures VI, Zhuhai Qianfang Youwei Science Fund",Private,Financial Services
Series B,2015.0,1,33.0,,"Beijing Guoke Jiahe Jinyuan Fund, Beijing Guozhi Zhihui Fund",Private,Technology
Angel & Seed,2015.0,1,15.0,,,Private,Transportation
Series C,2018.0,1,27.0,,"GSR Ventures VI, Rocket Internet Capital Partners II, Huakong Hubei Kegong Industrial Fund, Shenzhen Junsheng Runshi Angel Venture Fund, Chongqing Liangjiang Zhongxin Jialiang Financial Technology RMB Fund",Private,Technology
Add-on,2014.0,1,29.0,,Suzhou Quanchuan Fund,Private,Media and Entertainment
Angel & Seed,2016.0,1,1.0,,Beijing Shuimu Qingxin Venture Fund,Private,Consumer Goods and Services
Series C,2014.0,1,362.0,,"Guotou Gaoxin Shenzhen Venture Fund, LC Shenyun Fund, Huzhou Haisong Fund, Shenzhen Qianhai Qianyi Zhihe Fund VII",Private,Technology
Series A,2016.0,1,0.0,,"Beijing Zhendi Intelligence Venture Fund, Jilin Huaruixin Industrial Fund, Shanghai Yingnuo Zhonglian Fund, Hanzhong Zhonghe Advanced Manufacturing Industrial Fund, Hangzhou Taizhiyou Venture Fund",Private,Technology
Series A,2017.0,1,17.0,,Xiaochang Shuimu Fund,Private,Transportation
Early Stage,2015.0,1,13.0,,Zhuhai Hengqin Maijia Jiuchuang Fund,Private,Technology
